;año,mes,Ojos,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta,Total
1990,1,0,45.8,50.4,108.3,0,0,0,0,0,204.5
1990,2,0,35.1,42.6,92.2,0,0,0,0,0,169.9
1990,3,0,48.9,44,100.8,0,0,0,0,0,193.7
1990,4,0,17.6,24.1,236.5,0,0,0,0,0,278.2
1990,5,0,30.6,28,288.7,0,0,0,0,0,347.3
1990,6,0,18.1,20.2,126.3,0,0,0,0,0,164.6
1990,7,0,13.8,21.7,113.8,0,0,0,0,0,149.3
1990,8,0,16.2,30.4,134.7,0,0,0,0,0,181.3
1990,9,0,15.3,30.8,210.5,0,0,0,0,0,256.6
1990,10,0,41.4,43.4,232.4,0,0,0,0,0,317.2
1990,11,0,52.8,48.4,178.2,0,0,0,0,0,279.4
1990,12,0,50,42.4,104,0,0,0,0,0,196.4
1991,1,0,31.3,45.9,71.736,14.75,0.00,0,0,0,163.8
1991,2,0,33.5,43.1,55.681,11.51,0.00,0,0,0,143.8
1991,3,0,17.7,38.2,84.708,18.61,0.00,0,0,0,159.7
1991,4,0,16.8,23.1,188.605,41.68,0.00,0,0,0,270.2
1991,5,0,6.4,21,169.059,38.77,0.00,0,0,0,235.2
1991,6,0,12.5,33.7,293.397,60.05,0.00,0,0,0,399.6
1991,7,0,51.2,43.1,232.192,46.38,0.00,0,0,0,372.9
1991,8,0,69.2,45.5,327.013,67.30,0.00,0,0,0,509
1991,9,0,51.2,45.2,232.318,49.46,0.00,0,0,0,378.2
1991,10,0,50.3,48.1,233.978,48.38,0.00,0,0,0,380.7
1991,11,0,19.2,40.7,225.397,46.09,0.00,0,0,0,331.2
1991,12,0,48,43.1,217.086,43.85,0.00,0,0,0,352
1992,1,0,74.9,48.9,150.736,31.77,0.00,246.2,0,0,552.5
1992,2,0,70.3,44.1,163.181,34.06,0.00,150,0,0,462.1
1992,3,0,70.5,40.6,186.77,41.43,0.00,133.1,0,0,472.4
1992,4,0,49.4,33.3,141.78,32.37,0.00,144.1,0,0,401.5
1992,5,0,27.5,36.3,175.708,38.76,0.00,289.6,0,0,567.9
1992,6,0,17.1,30.1,275.27,57.71,0.00,297.6,0,0,677.8
1992,7,0,52.4,40,329.663,68.95,0.00,248.5,0,0,739.5
1992,8,0,48.5,34.8,320.013,66.96,0.00,189.7,0,0,659.8
1992,9,0,41.5,42.2,291.487,64.36,0.00,284.4,0,0,724.1
1992,10,0,43.6,47.7,263.751,57.59,0.00,364.6,0,0,777.2
1992,11,0,41.3,42.9,180.266,34.77,0.00,358.7,0,0,658.2
1992,12,0,77.6,50.4,209.045,39.46,0.00,315,0,0,692.5
1993,1,0,78.03,51.01,187.178,38.52,0.00,288.64,0,0,644.05
1993,2,0,66.09,41.59,82.77,17.20,0.00,148.56,0,0,356.37
1993,3,0,65.85,39.18,172.47,35.86,0.00,128.45,0,0,442.16
1993,4,0,62.96,45.85,175.298,36.90,0.00,168.48,0,0,490.49
1993,5,0,57.12,39.08,288.223,62.56,0.00,266.27,0,0,713.69
1993,6,0,33.75,37.32,283.231,52.10,0.00,309.07,0,0,715.34
1993,7,0,39.7,39.86,322.055,47.19,0.00,291.9,0,0,740.94
1993,8,0,60.44,44.76,325.047,41.16,0.00,256.27,0,0,727.38
1993,9,0,52.68,43.82,325.679,67.00,0.00,290.52,0,0,781
1993,10,0,47.62,47.43,314.974,67.26,0.00,333.94,0,0,813.44
1993,11,0,58.84,42.72,222.5,48.70,0.00,258.65,0,0,631.45
1993,12,0,54.02,49.49,130.838,27.48,0.00,357.76,15.31,0,634.85
1994,1,0,72.12,49.94,111.292,23.97,0.00,210.08,21.06,0,488.73
1994,2,0,37.6,40.79,89.44,19.33,0.00,136.91,18.31,0,342.54
1994,3,0,38.66,38.91,181.123,38.48,0.00,117.95,34.77,0,449.54
1994,4,0,38.45,35.43,187.747,43.04,0.00,134.49,37,0,476.26
1994,5,0,39.11,30.96,127.927,30.03,0.00,159.67,41.36,0,429.18
1994,6,0,49.46,46.41,174.194,38.65,0.00,263.88,59.32,0,631.79
1994,7,0,52.35,48.37,224.34,49.01,0.00,270.8,63.19,0,708.02
1994,8,0,65.59,47.45,330.584,67.01,0.00,251.91,60.23,0,822.57
1994,9,0,35.04,39.67,261.064,55.62,0.00,277.87,54.44,0,723.46
1994,10,0,49.49,49.64,279.318,58.63,0.00,356.97,64.69,0,858.66
1994,11,0,33.99,45.27,272.775,56.55,0.00,382.48,56.89,0,847.88
1994,12,0,54.27,49.14,214.762,43.86,0.00,330.7,64.22,0,756.89
1995,1,0,56.62,50.08,113.998,24.06,0.00,197.12,64.74,0,506.62
1995,2,0,44.34,36.75,106.572,23.28,0.00,139.03,56.05,0,406.02
1995,3,0,56.08,41.6,116.235,25.30,0.00,116.22,53.78,0,409.22
1995,4,0,45.48,32.05,131.341,29.47,0.00,134.81,49.33,0,422.48
1995,5,0,37.45,43.42,215.689,47.34,0.00,167.05,55.88,0,566.83
1995,6,0,17.05,36,220.396,48.68,0.00,302.71,44.33,0,669.17
1995,7,0,41.3,40.74,321.269,67.58,0.00,282.96,52.56,0,806.41
1995,8,0,57.51,41.62,324.162,68.69,0.00,234.16,52.97,0,779.11
1995,9,0,22.58,38.58,268.171,54.29,0.00,338.29,50.29,0,772.2
1995,10,0,45.78,46.88,318.679,64.07,0.00,362.7,61.11,0,899.22
1995,11,0,43.2,42.22,313.774,59.91,0.00,348.49,45.58,0,853.17
1995,12,0,71.91,48.99,310.46,62.46,0.00,374.17,56.68,0,924.85
1996,1,0,64.19,48.96,150.113,31.23,0.00,204.62,63.75,0,562.71
1996,2,0,47.36,44.13,120.423,25.96,0.00,139.27,57.2,0,434.36
1996,3,0,34.91,42.02,117.747,25.65,0.00,131.63,54.23,0,406.24
1996,4,0,19.85,45.32,145.957,32.06,0.00,189.11,58.7,0,490.97
1996,5,0,53.33,49.37,201.491,44.65,0.00,157.27,63.59,0,569.88
1996,6,0,41.59,33.52,208.391,46.43,0.00,182.47,48.45,0,561.01
1996,7,0,49.19,45.06,165.675,37.05,0.00,179.88,59.73,0,536.64
1996,8,0,34.73,40.57,148.298,32.68,12.77,200.19,54.34,0,524.66
1996,9,0,26.44,38.24,129.128,28.81,12.93,187.52,52.07,0,474.32
1996,10,0,45.25,43.36,155.225,34.01,11.22,223.06,59.42,0,571.55
1996,11,0,39.95,39.2,106.501,23.83,3.63,158.55,50.15,0,421.81
1996,12,0,31.19,45.58,74.449,16.29,0.23,133.06,63.45,0,364.13
1997,1,0,22.41,45.02,72.834,15.13,0.53,145.01,64.85,0,365.78
1997,2,0,14.92,39.4,56.849,12.83,0.64,116.29,57.45,0,298.37
1997,3,0,12.69,36.7,102.966,23.52,7.80,78.42,47.53,0,309.63
1997,4,0,13.36,34.92,125.81,29.63,13.62,135.22,43.59,0,396.15
1997,5,0,16.34,29.46,130.709,29.81,15.73,199.21,35.61,0,456.87
1997,6,0,15.18,31.48,205.281,44.53,21.74,281.72,39.95,0,639.88
1997,7,0,43.49,38.03,325.964,68.17,25.82,253.6,51.5,2.21,808.79
1997,8,0,16.37,38.44,301.539,58.38,24.90,308.2,51.58,18.1,817.51
1997,9,0,7.48,40.57,285.718,57.66,23.48,310.07,51.51,21.57,798.05
1997,10,0,20,44.32,312.07,61.04,25.43,353.7,18.87,8.01,843.44
1997,11,0,44,44.34,291.319,55.27,22.59,257.31,42.74,16.56,774.13
1997,12,0,69.82,47.66,292.217,46.51,21.05,294.31,46.32,15.59,833.47
1998,1,0,66.15,48.33,320.316,64.15,24.22,305.32,63.63,26.57,918.69
1998,2,0,66.07,41.16,181.909,37.35,13.07,185.47,55.7,22.94,603.67
1998,3,0,52.48,35.81,193.668,42.13,15.95,124.63,48.34,19.87,532.88
1998,4,0,39.24,35.56,177.013,40.31,10.50,150.53,47.58,17.63,518.36
1998,5,0,68.33,39.25,163.427,38.50,19.62,131.87,52.57,21.63,535.2
1998,6,0,63.91,36.77,196.188,48.91,22.02,148.94,47.76,19.48,583.98
1998,7,0,61.64,40.21,137.618,35.70,18.41,144.61,51.85,21.49,511.53
1998,8,0,27.38,38.77,77.194,19.83,10.89,112.66,50.46,20.71,357.89
1998,9,0,19.17,34.62,57.818,13.17,5.37,126.35,44.45,18.19,319.14
1998,10,0,17.62,31.9,66.121,15.36,2.95,99.02,39.01,15.46,287.44
1998,11,0,24.99,32.74,48.728,12.54,0.21,62.32,41.32,17.07,239.92
1998,12,0,16.77,37.64,45.026,10.46,0.00,77.16,47.91,20.1,255.07
1999,1,0,15.15,40.91,46.084,10.82,0.00,69.34,52.47,22.19,256.96
1999,2,0,11.44,35,40.414,9.19,0.00,65.66,44.81,18.78,225.29
1999,3,0,10.24,22.18,30.186,6.59,0.00,48.9,26.94,10.61,155.65
1999,4,0,7.03,21.71,37.007,8.50,2.72,59.68,26.2,10.53,173.38
1999,5,0,6.59,13.2,44.756,10.37,4.55,61.64,13.01,4.39,158.51
1999,6,0,3.78,12.78,31.376,7.54,3.26,97.1,14.2,3.93,173.97
1999,7,0,2.95,12.97,43.304,9.32,4.76,113.88,14.4,5.4,206.98
1999,8,0,0.27,16.35,78.881,17.56,9.63,157.26,20.17,10.04,310.16
1999,9,0,7.23,24.87,187.499,41.32,19.82,281.96,33.91,14.26,610.87
1999,10,0,40.51,44.19,294.14,60.12,23.49,363.27,58.36,24.93,909.01
1999,11,0,48.57,41.01,326.007,64.51,24.77,391.26,59.39,25.28,980.8
1999,12,0,64.94,48.86,288.117,57.72,21.38,316.38,64.93,28.16,890.49
2000,1,0,66.37,41.88,124.663,26.42,5.13,147.27,56.54,25.37,493.64
2000,2,0,62.79,35.25,56.603,11.32,0.00,133.92,41.01,19.46,360.35
2000,3,0,60.13,33.14,136.129,28.94,0.00,98.3,42.47,18.19,417.44
2000,4,0,33.9,23.48,183.068,41.06,13.55,83,28.32,11.45,417.82
2000,5,0,18.14,17.69,76.759,17.94,8.02,70.89,19.88,8.13,237.45
2000,6,0,10.94,22.34,142.671,31.22,13.42,249.52,26.52,10.1,506.73
2000,7,0,23.66,31.22,316.028,64.71,25.38,281.73,34.16,13.09,789.98
2000,8,0,43.54,37.52,325.72,66.71,26.64,262.85,51.01,21.12,835.11
2000,9,0,24.74,31.81,256.683,55.33,23.34,281.5,45.22,23.48,742.1
2000,10,0,26.43,43.75,278.167,57.43,22.57,373.58,58.06,22.09,882.08
2000,11,0,47.36,38.05,323.096,35.42,24.52,389.24,40.16,16.99,914.83
2000,12,0,63.18,46.02,338.325,35.29,25.86,401.27,59.04,25.38,994.36
2001,1,0,74.38,48.83,217.057,31.53,15.05,292.64,63.37,27.17,770.03
2001,2,0,66.05,41.34,112.732,22.68,3.89,164.88,55.03,23.49,490.09
2001,3,0,69.96,40.54,155.745,32.25,12.76,127.73,52.05,23.01,514.18
2001,4,0,68.17,37.93,173.238,38.07,18.96,118.15,44.03,20.67,519.22
2001,5,0,55.14,37.65,173.019,39.42,20.87,188.68,47.52,21.11,583.41
2001,6,0,40.43,38.7,321.126,67.50,25.52,271.15,48.04,21.15,833.61
2001,7,0,15.86,38.37,314.52,64.95,26.16,350.13,48.32,20.77,879.08
2001,8,0,46.47,45.05,335.93,70.30,26.27,336.16,58.25,25.04,943.47
2001,9,0,58.27,43.56,333.006,68.45,25.84,332.36,56.52,24.24,942.25
2001,10,0,54.51,45.5,328.147,67.89,25.63,385.53,58.25,25.21,990.67
2001,11,0,65.99,48.18,339.961,68.26,25.81,373.79,40.2,17.41,979.6
2001,12,0,70.33,49.74,299.916,61.40,22.39,370.49,63.5,27.56,965.33
2002,1,0,71.05,46.92,155.503,31.90,4.22,195.2,60.6,25.69,591.08
2002,2,0,59.94,40.99,111.622,23.46,5.91,139.23,53.02,22.79,456.97
2002,3,0,46.5,34.41,198.256,42.60,17.90,161.49,46.13,18.96,566.42
2002,4,0,42.86,29.29,216.825,48.26,21.50,135.5,41.13,17.09,552.45
2002,5,0,47.64,37.67,232.397,53.33,23.56,245.35,47.89,20.14,707.98
2002,6,0,51.46,40.21,273.485,60.35,24.70,275.71,44.52,18.92,789.36
2002,7,0,37.81,39.27,262.8,56.54,25.75,258.15,53.29,22.78,756.39
2002,8,0,25.7,38.13,298.984,63.02,26.18,316.38,50.83,21.56,840.78
2002,9,0,17.68,40.96,309.111,62.58,25.71,326.45,50.17,21.01,853.67
2002,10,0,51.97,45.36,297.766,60.27,26.10,334.6,54.47,23.44,893.97
2002,11,0,60.28,45.95,288.946,57.18,23.73,320.78,58.33,24.91,880.1
2002,12,0,68.2,48.37,276.317,53.25,22.51,379.1,60.84,26.16,934.74
2003,1,0,72.46,49.49,348.8,68.99,26.43,376.25,62.07,26.86,1031.35
2003,2,0,66.39,43.93,189.105,38.38,13.28,215.6,56.12,24.02,646.82
2003,3,0,64.48,46.24,208.664,43.90,17.52,155.55,58.89,25.14,620.74
2003,4,0,50.75,40.76,213.42,46.68,14.20,134.81,53.11,22.82,576.55
2003,5,0,44.59,41.21,193.756,45.66,22.37,137.28,51.87,22.22,558.96
2003,6,0,33.53,39.75,177.007,39.46,18.92,254.3,50.42,17.85,631.24
2003,7,0,47.45,46.4,319.283,69.39,26.68,273.45,49.82,24.89,857.36
2003,8,0,61,42.85,246.913,55.17,25.17,196.57,60.38,26.17,714.23
2003,9,0,37.26,46.34,140.582,31.00,15.88,224.72,60.96,26.43,583.17
2003,10,0,35.45,48.44,136.914,29.27,10.50,258.46,62.9,27.29,609.22
2003,11,0,36,47.51,136.143,28.47,8.91,267.75,61.56,26.6,612.94
2003,12,0,66.48,46.34,168.886,35.66,10.46,195.96,62.77,27.17,613.73
2004,1,0,61.97,48.93,145.108,31.29,7.51,185.85,61.75,26.32,568.72
2004,2,0,65.88,45.59,108.29,23.89,4.80,131.61,57.69,25.45,463.2
2004,3,0,59.3,46.06,92.858,20.68,5.40,130.87,58.22,25.52,439.03
2004,4,0,37.74,41.38,229.507,50.72,20.37,203.73,51.07,22.14,656.66
2004,5,0,47.33,42.61,275.154,64.58,26.28,151.57,46.62,23.38,677.52
2004,6,0,22.21,38.22,172.004,42.68,21.65,197.73,47.13,20.32,561.94
2004,7,0,20.24,40.32,163.682,39.74,21.99,226.25,50.42,21.86,584.5
2004,8,0,34.47,41.7,191.998,45.07,24.47,219.98,54.2,23.28,635.17
2004,9,0,30.88,40.08,130.537,28.66,14.91,283.12,52.84,20.13,601.15
2004,10,0,3.77,24.62,214.221,45.66,18.59,251.74,40.18,20.27,619.05
2004,11,0,0.89,24.37,134.335,27.75,6.68,305.48,47.16,21.52,568.19
2004,12,0,52.11,45.52,163.328,32.82,9.70,278.59,60.71,26.75,669.52
2005,1,0,67.44,49.48,136.308,28.56,6.26,182.01,64.03,27.66,561.75
2005,2,0,62.85,44.15,136.032,28.67,7.71,136.8,58.4,25.72,500.33
2005,3,0,63.91,46.95,177.282,38.85,17.14,136.7,60.61,26.67,568.29
2005,4,0,31.98,39.87,210.343,49.95,24.57,104.69,49.86,21.61,532.87
2005,5,0,21.42,39.16,184.828,46.80,25.04,207.49,48.82,20.93,594.48
2005,6,0,0.12,29,241.506,55.70,24.02,322.91,35.15,12.41,720.82
2005,7,0,14.84,36.2,314.092,64.30,26.04,292.35,43.36,18.43,809.61
2005,8,0,4.82,40.38,331.66,67.22,26.78,361.46,44.83,19.98,897.13
2005,9,0,41.53,29.01,315.221,63.81,25.42,317.37,52.98,23.14,868.48
2005,10,0,49.77,45.47,340.989,70.42,26.49,372.9,65.67,28.74,1000.45
2005,11,0,48,47.85,325.905,66.63,25.81,351.77,61.74,26.86,954.56
2005,12,0,49.7,48.72,338.175,67.11,26.58,356.41,62.12,27.13,975.94
2006,1,0,50.23,50.67,332.268,65.57,25.35,346.92,64.78,27.99,963.78
2006,2,0,45.48,44.16,136.479,27.30,7.08,209.15,51.96,22.23,543.84
2006,3,0,50.16,40.09,217.014,45.80,19.63,144.85,55.35,23.04,596.32
2006,4,0,69.87,47.68,240.574,53.65,24.15,169.84,62.59,27.05,695.4
2006,5,0,71.03,49.08,280.69,66.89,26.22,202.09,65.2,28.02,789.22
2006,6,0,29.95,37.53,274.607,63.79,25.48,335.81,54.63,22.78,844.58
2006,7,0,24.49,43.89,280.845,58.63,23.93,345.69,56.17,23.5,857.15
2006,8,0,51.95,44.94,335.179,69.39,26.77,314.77,57.56,24.45,925.01
2006,9,0,53.36,44.43,324.947,66.56,25.88,314.05,0.07,24.05,853.35
2006,10,0,51.48,48.68,338.77,68.86,26.75,376.68,0,15.25,926.47
2006,11,0,68.08,48.99,340.12,67.79,25.73,394.22,29.42,11.86,986.21
2006,12,0,73.4,50.24,350.293,70.93,26.70,394.4,61.82,27.06,1054.85
2007,1,0,72.63,51.29,294.793,59.54,23.21,301.99,67.34,29.65,900.44
2007,2,0,66.23,44.37,179.652,37.29,13.94,196.29,60.14,26.47,624.38
2007,3,0,73,49.72,248.335,54.64,23.02,164.6,67.28,29.66,710.78
2007,4,0,65.09,47.42,242.936,57.65,24.30,150.48,63.53,27.97,679.38
2007,5,0,66.97,48.79,181.617,47.24,22.02,148.17,65,28.13,607.94
2007,6,0,47.66,46.65,115.197,30.41,16.31,144.67,60.53,26.24,487.67
2007,7,0,25.58,39.66,145.385,38.50,18.58,188.09,50.82,22.16,528.78
2007,8,0,21.58,36.01,80.283,20.44,11.03,147.85,47.36,21.1,385.66
2007,9,0,23.03,35.99,82.789,18.79,8.33,198.3,50.53,22.86,440.62
2007,10,0,33.53,29.4,176.075,37.73,13.51,303.37,54.51,23.54,671.66
2007,11,0,39.17,50.05,208.356,45.28,17.33,325.69,61.93,28.22,776.03
2007,12,0,64.11,50.25,154.318,33.50,8.74,207,64.13,28.2,610.25
2008,1,0,66.28,51.83,98.962,21.43,1.53,174.68,66.88,28.95,510.54
2008,2,0,38.74,46.88,81.501,16.32,1.48,150.7,60.26,26.52,422.4
2008,3,0,21.41,38.41,64.769,14.16,2.82,105.52,48.66,20,315.76
2008,4,0,17.24,28.37,168.94,40.00,20.59,75.01,34.41,13.59,398.15
2008,5,0,9.72,25.35,196.894,43.76,20.13,229.75,26.34,10.37,562.31
2008,6,1.02,41.21,40.06,337.975,70.28,26.64,283.44,42.64,17.4,859.64
2008,7,2.7,67.65,45.73,337.352,70.84,27.21,258.02,58.15,24.48,889.44
2008,8,3.66,18.55,32.26,334.764,70.55,27.49,261.86,40.32,16.35,802.14
2008,9,3.66,42.3,39.6,290.217,60.72,24.90,259.78,53.54,22.83,793.88
2008,10,3.17,47.8,47.51,317.52,67.36,27.06,351.26,61.42,26.85,946.78
2008,11,3.49,45.7,47.1,261.865,54.41,22.26,371.47,48.02,20.77,871.59
2008,12,1.05,63.63,50.51,176.608,36.64,10.72,231.43,63.98,27.91,661.43
2009,1,0,68.88,50.27,189.581,40.74,12.91,189.69,65.29,28.58,645.94
2009,2,4.17,64.43,46.98,108.201,22.67,4.79,153.08,61.63,27.09,488.87
2009,3,4.19,71.83,51.02,89.08,19.52,4.24,137.05,64.51,28.26,465.58
2009,4,3.39,44.23,39.65,104.884,22.60,7.72,107.85,50.61,21.5,399.04
2009,5,2.54,31.05,35.15,253.372,60.45,26.68,167.24,44.2,17.93,636.07
2009,6,0.91,26.85,25.22,165.71,41.82,20.84,176.39,30.81,9.26,496.9
2009,7,2.97,30.89,36.61,239.973,57.27,27.00,241.33,38.45,20.08,691.61
2009,8,3.11,19.3,35.79,157.065,36.03,16.92,248.05,47.25,21.6,582
2009,9,3.42,30.31,33.1,230.727,49.87,22.58,270.7,49.83,24.28,711.4
2009,10,3.48,34.91,25.63,245.87,54.15,22.01,319.23,57.95,27.86,787.61
2009,11,3.76,29.34,24.72,241.223,50.86,19.25,334.64,54.09,23.21,777.34
2009,12,5.13,46.77,41.95,244.052,50.58,17.00,383.48,52.02,22.15,858
2010,1,,,,249.773,51.32,19.17,,,0,0
2010,2,,,,129.712,28.06,7.93,,,0,0
2010,3,,,,74.957,16.05,2.20,,,0,0
2010,4,,,,124.679,27.41,10.17,,,0,0
2010,5,,,,269.037,63.24,26.65,,,0,0
2010,6,,,,150.822,39.17,19.99,,,0,0
2010,7,,,,49.922,11.80,5.22,,,0,0
2010,8,,,,28.053,5.89,2.35,,,0,0
2010,9,,,,116.665,24.94,12.23,,,0,0
2010,10,,,,130.953,28.30,8.95,,,0,0
2010,11,,,,121.538,25.07,6.03,,,0,0
2010,12,,,,96.226,19.34,1.34,,,0,0
2011,1,,,,179.737,36.74,12.18,,,0,0
2011,2,,,,121.971,25.88,7.36,,,0,0
2011,3,,,,65.529,13.65,2.14,,,0,0
2011,4,,,,111.175,24.19,10.13,,,0,0
2011,5,,,,113.043,25.50,13.15,,,0,0
2011,6,,,,96.091,21.82,11.33,,,0,0
2011,7,,,,165.515,38.15,21.24,,,0,0
2011,8,,,,205.988,47.44,23.84,,,0,0
2011,9,,,,143.072,31.18,15.64,,,0,0
2011,10,,,,78.415,16.52,6.43,,,0,0
2011,11,,,,,,,,,0,0
2011,12,,,,,,,,,0,0
2012,1,,,,,,,,,0,0
2012,2,,,,,,,,,0,0
2012,3,,,,,,,,,0,0
2012,4,,,,,,,,,0,0
2012,5,,,,,,,,,0,0
2012,6,,,,,,,,,0,0
2012,7,,,,,,,,,0,0
2012,8,,,,,,,,,0,0
2012,9,,,,,,,,,0,0
2012,10,,,,,,,,,0,0
2012,11,,,,,,,,,0,0
2012,12,,,,,,,,,0,0
2013,1,,,,,,,,,0,0
2013,2,,,,,,,,,0,0
2013,3,,,,,,,,,0,0
2013,4,,,,,,,,,0,0
2013,5,,,,,,,,,0,0
2013,6,,,,,,,,,0,0
2013,7,,,,,,,,,0,0
2013,8,,,,,,,,,0,0
2013,9,,,,,,,,,0,0
2013,10,,,,,,,,,0,0
2013,11,,,,,,,,,0,0
2013,12,,,,,,,,,0,0
2014,1,,,,,,,,,0,0
2014,2,,,,,,,,,0,0
2014,3,,,,,,,,,0,0
2014,4,,,,,,,,,0,0
2014,5,,,,,,,,,0,0
2014,6,,,,,,,,,0,0
2014,7,,,,,,,,,0,0
2014,8,,,,,,,,,0,0
2014,9,,,,,,,,,0,0
2014,10,,,,,,,,,0,0
2014,11,,,,,,,,,0,0
2014,12,,,,,,,,,0,0
2015,1,,,,,,,,,0,0
2015,2,,,,,,,,,0,0
2015,3,,,,,,,,,0,0
2015,4,,,,,,,,,0,0
2015,5,,,,,,,,,0,0
2015,6,,,,,,,,,0,0
2015,7,,,,,,,,,0,0
2015,8,,,,,,,,,0,0
2015,9,,,,,,,,,0,0
2015,10,,,,,,,,,0,0
