;año,mes,L. LAJA,L. MAULE,E. RAPEL,L. INVERNADAD,L. CHAPO,E. COLBUN,E. MELADO,E. RALCO,,,
1985 ,1,"1,353 ","2,174 ",105 ,"1,317 ",0 ,419 ,0 ,0 ,,,
1985 ,2,"1,353 ","2,175 ",105 ,"1,318 ",0 ,421 ,0 ,0 ,,,
1985 ,3,"1,351 ","2,176 ",105 ,"1,318 ",0 ,423 ,0 ,0 ,,,
1985 ,4,"1,349 ","2,175 ",104 ,"1,314 ",0 ,426 ,0 ,0 ,,,
1985 ,5,"1,347 ","2,175 ",100 ,"1,308 ",0 ,425 ,0 ,0 ,,,
1985 ,6,"1,347 ","2,174 ",101 ,"1,302 ",0 ,426 ,0 ,0 ,,,
1985 ,7,"1,347 ","2,175 ",101 ,"1,298 ",0 ,426 ,0 ,0 ,,,
1985 ,8,"1,348 ","2,175 ",103 ,"1,292 ",0 ,426 ,0 ,0 ,,,
1985 ,9,"1,346 ","2,175 ",101 ,"1,286 ",0 ,425 ,0 ,0 ,,,
1985 ,10,"1,345 ","2,175 ",99 ,"1,285 ",0 ,428 ,0 ,0 ,,,
1985 ,11,"1,345 ","2,175 ",103 ,"1,287 ",0 ,431 ,0 ,0 ,,,
1985 ,12,"1,346 ","2,176 ",105 ,"1,306 ",0 ,435 ,0 ,0 ,,,
1986 ,1,"1,344 ","2,177 ",105 ,"1,305 ",0 ,433 ,0 ,0 ,,,
1986 ,2,"1,341 ","2,174 ",105 ,"1,308 ",0 ,430 ,0 ,0 ,,,
1986 ,3,"1,339 ","2,173 ",105 ,"1,309 ",0 ,425 ,0 ,0 ,,,
1986 ,4,"1,337 ","2,171 ",105 ,"1,303 ",0 ,423 ,0 ,0 ,,,
1986 ,5,"1,335 ","2,171 ",103 ,"1,300 ",0 ,418 ,0 ,0 ,,,
1986 ,6,"1,337 ","2,171 ",104 ,"1,303 ",0 ,427 ,0 ,0 ,,,
1986 ,7,"1,340 ","2,172 ",102 ,"1,311 ",0 ,435 ,0 ,0 ,,,
1986 ,8,"1,341 ","2,172 ",102 ,"1,307 ",0 ,435 ,0 ,0 ,,,
1986 ,9,"1,343 ","2,173 ",105 ,"1,293 ",0 ,438 ,0 ,0 ,,,
1986 ,10,"1,343 ","2,173 ",103 ,"1,293 ",0 ,432 ,0 ,0 ,,,
1986 ,11,"1,345 ","2,174 ",101 ,"1,298 ",0 ,435 ,0 ,0 ,,,
1986 ,12,"1,347 ","2,175 ",103 ,"1,305 ",0 ,436 ,0 ,0 ,,,
1987 ,1,"1,348 ","2,176 ",105 ,"1,318 ",0 ,436 ,0 ,0 ,,,
1987 ,2,"1,347 ","2,177 ",105 ,"1,318 ",0 ,434 ,0 ,0 ,,,
1987 ,3,"1,345 ","2,178 ",105 ,"1,316 ",0 ,429 ,0 ,0 ,,,
1987 ,4,"1,342 ","2,178 ",105 ,"1,312 ",0 ,425 ,0 ,0 ,,,
1987 ,5,"1,340 ","2,178 ",103 ,"1,308 ",0 ,421 ,0 ,0 ,,,
1987 ,6,"1,337 ","2,177 ",102 ,"1,299 ",0 ,421 ,0 ,0 ,,,
1987 ,7,"1,337 ","2,177 ",102 ,"1,289 ",0 ,422 ,0 ,0 ,,,
1987 ,8,"1,338 ","2,177 ",104 ,"1,291 ",0 ,436 ,0 ,0 ,,,
1987 ,9,"1,339 ","2,177 ",103 ,"1,291 ",0 ,436 ,0 ,0 ,,,
1987 ,10,"1,340 ","2,177 ",101 ,"1,283 ",0 ,436 ,0 ,0 ,,,
1987 ,11,"1,343 ","2,178 ",103 ,"1,294 ",0 ,436 ,0 ,0 ,,,
1987 ,12,"1,346 ","2,178 ",105 ,"1,316 ",0 ,436 ,0 ,0 ,,,
1988 ,1,"1,346 ","2,180 ",104 ,"1,318 ",0 ,435 ,0 ,0 ,,,
1988 ,2,"1,344 ","2,181 ",105 ,"1,317 ",0 ,433 ,0 ,0 ,,,
1988 ,3,"1,342 ","2,180 ",104 ,"1,316 ",0 ,430 ,0 ,0 ,,,
1988 ,4,"1,340 ","2,180 ",104 ,"1,310 ",0 ,428 ,0 ,0 ,,,
1988 ,5,"1,338 ","2,179 ",103 ,"1,305 ",0 ,423 ,0 ,0 ,,,
1988 ,6,"1,336 ","2,178 ",101 ,"1,297 ",0 ,423 ,0 ,0 ,,,
1988 ,7,"1,334 ","2,177 ",101 ,"1,287 ",0 ,426 ,0 ,0 ,,,
1988 ,8,"1,332 ","2,177 ",102 ,"1,284 ",0 ,429 ,0 ,0 ,,,
1988 ,9,"1,331 ","2,177 ",102 ,"1,284 ",0 ,435 ,0 ,0 ,,,
1988 ,10,"1,331 ","2,176 ",104 ,"1,284 ",0 ,432 ,0 ,0 ,,,
1988 ,11,"1,332 ","2,176 ",103 ,"1,293 ",0 ,433 ,0 ,0 ,,,
1988 ,12,"1,334 ","2,177 ",105 ,"1,308 ",0 ,436 ,0 ,0 ,,,
1989 ,1,"1,334 ","2,178 ",104 ,"1,308 ",0 ,435 ,0 ,0 ,,,
1989 ,2,"1,331 ","2,176 ",104 ,"1,304 ",0 ,434 ,0 ,0 ,,,
1989 ,3,"1,329 ","2,174 ",105 ,"1,298 ",0 ,433 ,0 ,0 ,,,
1989 ,4,"1,326 ","2,173 ",104 ,"1,296 ",0 ,429 ,0 ,0 ,,,
1989 ,5,"1,323 ","2,172 ",103 ,"1,290 ",0 ,423 ,0 ,0 ,,,
1989 ,6,"1,320 ","2,170 ",103 ,"1,285 ",0 ,421 ,0 ,0 ,,,
1989 ,7,"1,318 ","2,169 ",101 ,"1,284 ",0 ,418 ,0 ,0 ,,,
1989 ,8,"1,317 ","2,168 ",101 ,"1,284 ",0 ,421 ,0 ,0 ,,,
1989 ,9,"1,317 ","2,168 ",104 ,"1,288 ",0 ,428 ,0 ,0 ,,,
1989 ,10,"1,318 ","2,168 ",103 ,"1,292 ",0 ,427 ,0 ,0 ,,,
1989 ,11,"1,322 ","2,169 ",104 ,"1,298 ",0 ,428 ,0 ,0 ,,,
1989 ,12,"1,324 ","2,169 ",104 ,"1,308 ",0 ,434 ,0 ,0 ,,,
1990 ,1,"1,324 ","2,168 ",105 ,"1,308 ",0 ,435 ,0 ,0 ,,,
1990 ,2,"1,323 ","2,164 ",105 ,"1,304 ",0 ,435 ,0 ,0 ,,,
1990 ,3,"1,321 ","2,161 ",105 ,"1,299 ",0 ,434 ,0 ,0 ,,,
1990 ,4,"1,319 ","2,160 ",103 ,"1,289 ",0 ,433 ,0 ,0 ,,,
1990 ,5,"1,318 ","2,160 ",103 ,"1,291 ",0 ,428 ,0 ,0 ,,,
1990 ,6,"1,319 ","2,160 ",101 ,"1,285 ",0 ,422 ,0 ,0 ,,,
1990 ,7,"1,318 ","2,161 ",100 ,"1,284 ",0 ,421 ,0 ,0 ,,,
1990 ,8,"1,317 ","2,161 ",101 ,"1,284 ",0 ,422 ,0 ,0 ,,,
1990 ,9,"1,319 ","2,161 ",101 ,"1,284 ",0 ,425 ,0 ,0 ,,,
1990 ,10,"1,322 ","2,161 ",104 ,"1,287 ",0 ,433 ,0 ,0 ,,,
1990 ,11,"1,324 ","2,162 ",105 ,"1,287 ",0 ,435 ,0 ,0 ,,,
1990 ,12,"1,324 ","2,162 ",105 ,"1,290 ",0 ,435 ,0 ,0 ,,,
1991 ,1,"1,322 ","2,163 ",104 ,"1,290 ",243 ,435 ,0 ,0 ,,,
1991 ,2,"1,320 ","2,161 ",104 ,"1,289 ",240 ,433 ,0 ,0 ,,,
1991 ,3,"1,318 ","2,158 ",104 ,"1,281 ",237 ,432 ,0 ,0 ,,,
1991 ,4,"1,317 ","2,157 ",101 ,"1,281 ",234 ,428 ,0 ,0 ,,,
1991 ,5,"1,316 ","2,157 ",102 ,"1,281 ",232 ,419 ,640 ,0 ,,,
1991 ,6,"1,321 ","2,157 ",105 ,"1,304 ",233 ,435 ,648 ,0 ,,,
1991 ,7,"1,323 ","2,158 ",104 ,"1,311 ",234 ,436 ,647 ,0 ,,,
1991 ,8,"1,326 ","2,158 ",104 ,"1,309 ",236 ,436 ,643 ,0 ,,,
1991 ,9,"1,326 ","2,159 ",101 ,"1,298 ",237 ,432 ,641 ,0 ,,,
1991 ,10,"1,328 ","2,160 ",102 ,"1,292 ",240 ,435 ,640 ,0 ,,,
1991 ,11,"1,330 ","2,160 ",100 ,"1,290 ",242 ,436 ,647 ,0 ,,,
1991 ,12,"1,332 ","2,161 ",102 ,"1,310 ",243 ,436 ,645 ,0 ,,,
1992 ,1,"1,332 ","2,162 ",105 ,"1,318 ",243 ,436 ,648 ,0 ,,,
1992 ,2,"1,332 ","2,163 ",104 ,"1,318 ",240 ,436 ,648 ,0 ,,,
1992 ,3,"1,331 ","2,164 ",105 ,"1,313 ",239 ,431 ,647 ,0 ,,,
1992 ,4,"1,329 ","2,164 ",105 ,"1,306 ",236 ,423 ,643 ,0 ,,,
1992 ,5,"1,327 ","2,164 ",103 ,"1,300 ",235 ,422 ,641 ,0 ,,,
1992 ,6,"1,330 ","2,165 ",105 ,"1,303 ",237 ,436 ,648 ,0 ,,,
1992 ,7,"1,332 ","2,166 ",105 ,"1,306 ",240 ,436 ,644 ,0 ,,,
1992 ,8,"1,332 ","2,166 ",101 ,"1,300 ",239 ,433 ,641 ,0 ,,,
1992 ,9,"1,331 ","2,167 ",105 ,"1,293 ",237 ,426 ,645 ,0 ,,,
1992 ,10,"1,332 ","2,167 ",104 ,"1,289 ",238 ,425 ,644 ,0 ,,,
1992 ,11,"1,335 ","2,167 ",105 ,"1,295 ",243 ,431 ,648 ,0 ,,,
1992 ,12,"1,339 ","2,170 ",105 ,"1,314 ",243 ,436 ,642 ,0 ,,,
1993 ,1,"1,341 ","2,170 ",105 ,"1,318 ",243 ,436 ,643 ,0 ,,,
1993 ,2,"1,341 ","2,171 ",105 ,"1,318 ",241 ,436 ,641 ,0 ,,,
1993 ,3,"1,339 ","2,172 ",105 ,"1,316 ",238 ,435 ,647 ,0 ,,,
1993 ,4,"1,337 ","2,172 ",105 ,"1,310 ",237 ,429 ,645 ,0 ,,,
1993 ,5,"1,336 ","2,171 ",101 ,"1,303 ",238 ,426 ,643 ,0 ,,,
1993 ,6,"1,337 ","2,172 ",101 ,"1,300 ",239 ,426 ,643 ,0 ,,,
1993 ,7,"1,342 ","2,173 ",105 ,"1,303 ",242 ,436 ,648 ,0 ,,,
1993 ,8,"1,344 ","2,173 ",103 ,"1,303 ",242 ,435 ,643 ,0 ,,,
1993 ,9,"1,346 ","2,174 ",104 ,"1,295 ",241 ,432 ,648 ,0 ,,,
1993 ,10,"1,347 ","2,174 ",100 ,"1,285 ",239 ,429 ,641 ,0 ,,,
1993 ,11,"1,349 ","2,174 ",101 ,"1,290 ",238 ,425 ,643 ,0 ,,,
1993 ,12,"1,350 ","2,175 ",104 ,"1,303 ",239 ,428 ,643 ,0 ,,,
1994 ,1,"1,351 ","2,176 ",104.3 ,"1,316 ",241.1 ,436 ,644 ,0 ,,,
1994 ,2,"1,349 ","2,176 ",104.8 ,"1,316 ",240.6 ,435 ,647 ,0 ,,,
1994 ,3,"1,347 ","2,175 ",104.8 ,"1,316 ",241.0 ,433 ,647 ,0 ,,,
1994 ,4,"1,345 ","2,175 ",104.6 ,"1,314 ",238.3 ,425 ,646 ,0 ,,,
1994 ,5,"1,343 ","2,175 ",104.2 ,"1,311 ",237.7 ,418 ,644 ,0 ,,,
1994 ,6,"1,341 ","2,175 ",101.4 ,"1,308 ",241.2 ,420 ,643 ,0 ,,,
1994 ,7,"1,344 ","2,174 ",104.7 ,"1,299 ",242.7 ,436 ,645 ,0 ,,,
1994 ,8,"1,344 ","2,174 ",103.0 ,"1,298 ",241.9 ,425 ,648 ,0 ,,,
1994 ,9,"1,344 ","2,174 ",102.7 ,"1,285 ",241.4 ,432 ,646 ,0 ,,,
1994 ,10,"1,346 ","2,174 ",104.8 ,"1,285 ",242.5 ,433 ,644 ,0 ,,,
1994 ,11,"1,349 ","2,175 ",101.5 ,"1,290 ",242.0 ,433 ,646 ,0 ,,,
1994 ,12,"1,350 ","2,175 ",104.5 ,"1,311 ",242.9 ,436 ,644 ,0 ,,,
1995 ,1,"1,351 ","2,177 ",104.6 ,"1,318 ",242.7 ,437 ,644 ,0 ,,,
1995 ,2,"1,349 ","2,176 ",104.5 ,"1,318 ",241.9 ,435 ,646 ,0 ,,,
1995 ,3,"1,347 ","2,175 ",104.8 ,"1,315 ",240.3 ,433 ,646 ,0 ,,,
1995 ,4,"1,344 ","2,174 ",104.8 ,"1,309 ",237.1 ,429 ,646 ,0 ,,,
1995 ,5,"1,341 ","2,174 ",104.0 ,"1,305 ",236.1 ,428 ,648 ,0 ,,,
1995 ,6,"1,339 ","2,173 ",102.5 ,"1,302 ",237.8 ,423 ,648 ,0 ,,,
1995 ,7,"1,340 ","2,174 ",104.6 ,"1,307 ",241.7 ,431 ,646 ,0 ,,,
1995 ,8,"1,341 ","2,174 ",104.6 ,"1,306 ",241.7 ,433 ,645 ,0 ,,,
1995 ,9,"1,342 ","2,175 ",104.2 ,"1,297 ",241.8 ,430 ,648 ,0 ,,,
1995 ,10,"1,343 ","2,175 ",103.2 ,"1,301 ",241.5 ,435 ,644 ,0 ,,,
1995 ,11,"1,345 ","2,175 ",100.7 ,"1,303 ",241.9 ,437 ,648 ,0 ,,,
1995 ,12,"1,348 ","2,175 ",103.6 ,"1,318 ",242.4 ,437 ,647 ,0 ,,,
1996 ,1,"1,349 ","2,175 ",104.6 ,"1,318 ",241.5 ,436 ,646 ,0 ,,,
1996 ,2,"1,346 ","2,177 ",103.7 ,"1,318 ",241.1 ,434 ,646 ,0 ,,,
1996 ,3,"1,344 ","2,177 ",104.1 ,"1,316 ",240.9 ,431 ,647 ,0 ,,,
1996 ,4,"1,341 ","2,176 ",104.7 ,"1,314 ",239.8 ,428 ,646 ,0 ,,,
1996 ,5,"1,338 ","2,173 ",104.1 ,"1,314 ",238.0 ,428 ,646 ,0 ,,,
1996 ,6,"1,335 ","2,171 ",103.8 ,"1,307 ",237.6 ,422 ,645 ,0 ,,,
1996 ,7,"1,333 ","2,171 ",102.4 ,"1,302 ",236.0 ,421 ,646 ,0 ,,,
1996 ,8,"1,330 ","2,170 ",103.4 ,"1,293 ",234.4 ,421 ,644 ,0 ,,,
1996 ,9,"1,328 ","2,169 ",104.4 ,"1,287 ",235.3 ,425 ,645 ,0 ,,,
1996 ,10,"1,326 ","2,169 ",103.0 ,"1,286 ",235.9 ,427 ,646 ,0 ,,,
1996 ,11,"1,325 ","2,169 ",100.0 ,"1,287 ",234.9,426.2,645.2,0 ,,,
1996 ,12,"1,323 ","2,169 ",99.7 ,"1,289 ",233.2 ,424 ,646 ,0 ,,,
1997 ,1,"1,320 ","2,167 ",99.6 ,"1,285 ",232.1 ,423 ,645 ,0 ,,,
1997 ,2,"1,316 ","2,164 ",99.4 ,"1,282 ",233.1 ,422 ,644 ,0 ,,,
1997 ,3,"1,313 ","2,161 ",99.5 ,"1,282 ",230.6 ,422 ,644 ,0 ,,,
1997 ,4,"1,309 ","2,159 ",101.6 ,"1,282 ",226.9 ,416 ,644 ,0 ,,,
1997 ,5,"1,308 ","2,157 ",101.4 ,"1,284 ",229.2 ,418 ,648 ,0 ,,,
1997 ,6,"1,308 ","2,157 ",103.0 ,"1,285 ",226.8 ,423 ,646 ,0 ,,,
1997 ,7,"1,314 ","2,158 ",103.7 ,"1,292 ",231.9 ,437 ,643 ,0 ,,,
1997 ,8,"1,316 ","2,158 ",104.5 ,"1,285 ",236.4 ,436 ,648 ,0 ,,,
