;año,mes,L. LAJA,L. MAULE,E. RAPEL,L. INVERNADAD,L. CHAPO,E. COLBUN,E. MELADO,E. RALCO,,,
1997 ,9,"1,321 ","2,159 ",104.7 ,"1,296 ",238.8 ,436 ,648 ,0 ,,,
1997 ,10,"1,325 ","2,160 ",104.0 ,"1,308 ",241.7 ,436 ,646 ,0 ,,,
1997 ,11,"1,327 ","2,161 ",103.6 ,"1,313 ",242.7 ,436 ,646 ,0 ,,,
1997 ,12,"1,330 ","2,163 ",104.7 ,"1,318 ",243.0 ,437 ,647 ,0 ,,,
1998 ,1,"1,332 ","2,163 ",104.5 ,"1,318 ",242.7 ,437 ,646 ,0 ,,,
1998 ,2,"1,331 ","2,165 ",104.5 ,"1,318 ",241.4 ,434 ,646 ,0 ,,,
1998 ,3,"1,329 ","2,165 ",104.6 ,"1,318 ",238.0 ,430 ,644 ,0 ,,,
1998 ,4,"1,325 ","2,165 ",103.6 ,"1,318 ",234.8 ,422 ,643 ,0 ,,,
1998 ,5,"1,322 ","2,165 ",102.1 ,"1,317 ",232.1 ,417 ,642 ,0 ,,,
1998 ,6,"1,318 ","2,165 ",102.2 ,"1,309 ",230.3 ,412 ,647 ,0 ,,,
1998 ,7,"1,317 ","2,166 ",101.2 ,"1,300 ",228.8 ,403 ,645 ,0 ,,,
1998 ,8,"1,314 ","2,166 ",99.8 ,"1,285 ",228.1 ,399 ,642 ,0 ,,,
1998 ,9,"1,311 ","2,164 ",99.9 ,"1,281 ",228.4 ,401 ,644 ,0 ,,,
1998 ,10,"1,311 ","2,163 ",101.3 ,"1,281 ",226.0 ,406 ,643 ,0 ,,,
1998 ,11,"1,311 ","2,163 ",101.3 ,"1,286 ",224.4 ,405 ,642 ,0 ,,,
1998 ,12,"1,310 ","2,162 ",98.7 ,"1,284 ",222.4 ,401 ,644 ,0 ,,,
1999 ,1,"1,308 ","2,160 ",99 ,"1,284 ",221 ,400 ,642 ,0 ,,,
1999 ,2,"1,307 ","2,158 ",100.1 ,"1,283 ",220.8 ,397 ,645 ,0 ,,,
1999 ,3,"1,305 ","2,156 ",99.6 ,"1,282 ",220.5 ,395 ,642 ,0 ,,,
1999 ,4,"1,304 ","2,155 ",97.6 ,"1,282 ",220.0 ,394 ,640 ,0 ,,,
1999 ,5,"1,303 ","2,154 ",96.7 ,"1,282 ",220.0 ,394 ,640 ,0 ,,,
1999 ,6,"1,304 ","2,154 ",99.1 ,"1,282 ",222.1 ,394 ,641 ,0 ,,,
1999 ,7,"1,305 ","2,155 ",102.0 ,"1,285 ",225.0 ,405 ,646 ,0 ,,,
1999 ,8,"1,306 ","2,155 ",103.1 ,"1,287 ",227.2 ,414 ,643 ,0 ,,,
1999 ,9,"1,309 ","2,155 ",104.1 ,"1,290 ",230.9 ,422 ,646 ,0 ,,,
1999 ,10,"1,312 ","2,156 ",104.5 ,"1,292 ",234.1 ,432 ,646 ,0 ,,,
1999 ,11,"1,317 ","2,157 ",103.3 ,"1,294 ",233.5 ,437 ,648 ,0 ,,,
1999 ,12,"1,320 ","2,158 ",101.8 ,"1,308 ",234.8 ,437 ,648 ,0 ,,,
2000 ,1,"1,321 ","2,159 ",103.3 ,"1,313 ",236.6 ,434 ,645 ,0 ,,,
2000 ,2,"1,319 ","2,159 ",103.9 ,"1,310 ",235.3 ,430 ,646 ,0 ,,,
2000 ,3,"1,318 ","2,160 ",104.2 ,"1,302 ",234.0 ,432 ,644 ,0 ,,,
2000 ,4,"1,316 ","2,160 ",101.8 ,"1,291 ",231.0 ,426 ,646 ,0 ,,,
2000 ,5,"1,315 ","2,160 ",100.6 ,"1,284 ",228.6 ,417 ,643 ,0 ,,,
2000 ,6,"1,314 ","2,160 ",101.9 ,"1,284 ",226.2 ,416 ,645 ,0 ,,,
2000 ,7,"1,317 ","2,161 ",104.4 ,"1,294 ",231.8 ,434 ,648 ,0 ,,,
2000 ,8,"1,320 ","2,162 ",103.3 ,"1,296 ",235.4 ,433 ,645 ,0 ,,,
2000 ,9,"1,323 ","2,162 ",102.0 ,"1,292 ",236.5 ,430 ,643 ,0 ,,,
2000 ,10,"1,325 ","2,163 ",103.9 ,"1,294 ",237.4 ,434 ,647 ,0 ,,,
2000 ,11,"1,329 ","2,163 ",104.0 ,"1,303 ",239.7 ,437 ,648 ,0 ,,,
2000 ,12,"1,332 ","2,164 ",103.1 ,"1,315 ",241.2 ,437 ,648 ,0 ,,,
2001 ,1,"1,335 ","2,166 ",104.3 ,"1,318 ",242.2 ,437 ,648 ,0 ,,,
2001 ,2,"1,335 ","2,167 ",104.7 ,"1,318 ",243.0 ,437 ,647 ,0 ,,,
2001 ,3,"1,335 ","2,167 ",104.26 ,"1,316 ",240.6 ,435 ,642 ,0 ,,,
2001 ,4,"1,333 ","2,168 ",102.4 ,"1,310 ",239.4 ,430 ,644 ,0 ,,,
2001 ,5,"1,332 ","2,168 ",100.5 ,"1,302 ",236.6 ,425 ,644 ,0 ,,,
2001 ,6,"1,333 ","2,169 ",104.5 ,"1,299 ",238.1 ,433 ,647 ,0 ,,,
2001 ,7,"1,336 ","2,169 ",101.5 ,"1,298 ",239.7 ,432 ,645 ,0 ,,,
2001 ,8,"1,340 ","2,170 ",104.8 ,"1,306 ",242.5 ,436 ,649 ,0 ,,,
2001 ,9,"1,342 ","2,171 ",104.7 ,"1,306 ",241.9 ,436 ,648 ,0 ,,,
2001 ,10,"1,343 ","2,171 ",103.5 ,"1,302 ",240.9 ,435 ,643 ,0 ,,,
2001 ,11,"1,345 ","2,172 ",101.5 ,"1,306 ",239.8 ,436 ,644 ,0 ,,,
2001 ,12,"1,347 ","2,173 ",103.6 ,"1,315 ",239.1 ,435 ,646 ,0 ,,,
2002 ,1,"1,347 ","2,173 ",104.5 ,"1,318 ",238.5 ,436 ,643 ,0 ,,,
2002 ,2,"1,344 ","2,175 ",104.3 ,"1,318 ",236.3 ,433 ,645 ,0 ,,,
2002 ,3,"1,342 ","2,174 ",104.8 ,"1,315 ",235.0 ,431 ,645 ,0 ,,,
2002 ,4,"1,341 ","2,174 ",104.7 ,"1,315 ",236.3 ,429 ,647 ,0 ,,,
2002 ,5,"1,339 ","2,175 ",102.4 ,"1,312 ",236.7 ,421 ,642 ,0 ,,,
2002 ,6,"1,339 ","2,175 ",103.3 ,"1,310 ",240.2 ,424 ,643 ,0 ,,,
2002 ,7,"1,339 ","2,176 ",103.3 ,"1,306 ",242.0 ,428 ,646 ,0 ,,,
2002 ,8,"1,339 ","2,176 ",104.0 ,"1,304 ",241.8 ,430 ,645 ,0 ,,,
2002 ,9,"1,342 ","2,177 ",104.7 ,"1,311 ",242.6 ,436 ,649 ,0 ,,,
2002 ,10,"1,343 ","2,177 ",104.8 ,"1,318 ",243.0 ,436 ,647 ,0 ,,,
2002 ,11,"1,348 ","2,177 ",102.7 ,"1,318 ",242.9 ,437 ,649 ,0 ,,,
2002 ,12,"1,351 ","2,178 ",104.8 ,"1,318 ",242.9 ,437 ,648 ,0 ,,,
2003 ,1,"1,353 ","2,180 ",104.3 ,"1,318 ",242.7 ,437 ,648 ,0 ,,,
2003 ,2,"1,353 ","2,180 ",104.1 ,"1,318 ",242.8 ,437 ,643 ,0 ,,,
2003 ,3,"1,351 ","2,181 ",104.0 ,"1,318 ",241.4 ,434 ,643 ,0 ,,,
2003 ,4,"1,348 ","2,180 ",103.1 ,"1,318 ",238.1 ,429 ,646 ,0 ,,,
2003 ,5,"1,345 ","2,180 ",100.9 ,"1,315 ",235.4 ,420 ,643 ,0 ,,,
2003 ,6,"1,342 ","2,180 ",103.5 ,"1,312 ",233.4 ,413 ,645 ,0 ,,,
2003 ,7,"1,345 ","2,180 ",101.6 ,"1,313 ",236.9 ,430 ,645 ,0 ,,,
2003 ,8,"1,346 ","2,180 ",101.6 ,"1,310 ",237.6 ,427 ,643 ,,,,
2003 ,9,"1,345 ","2,179 ",104.5 ,"1,303 ",238.2 ,423 ,647 ,,,,
2003 ,10,"1,345 ","2,179 ",103.3 ,"1,302 ",239.3 ,427 ,646 ,,,,
2003 ,11,"1,345 ","2,179 ",101.4 ,"1,306 ",238.6 ,431 ,646 ,,,,
2003 ,12,"1,345 ","2,179 ",103.7 ,"1,315 ",239.1 ,434 ,643 ,,,,
2004 ,1,"1,343 ","2,179 ",104.2 ,"1,314 ",239.1 ,430 ,644 ,,,,
2004 ,2,"1,341 ","2,177 ",104.3 ,"1,311 ",236.0 ,426 ,642 ,,,,
2004 ,3,"1,339 ","2,176 ",104.2 ,"1,302 ",232.8 ,423 ,646 ,,,,
2004 ,4,"1,336 ","2,175 ",102.5 ,"1,292 ",229.8 ,421 ,644 ,,,,
2004 ,5,"1,334 ","2,174 ",101.3 ,"1,295 ",232.2 ,423 ,643 ,,,,
2004 ,6,"1,332 ","2,173 ",100.9 ,"1,285 ",228.7 ,407 ,644 ,,,,
2004 ,7,"1,332 ","2,173 ",102.8 ,"1,289 ",232.6 ,410 ,644 ,712.31,,,
2004 ,8,"1,334 ","2,172 ",103.7 ,"1,292 ",234.2 ,417 ,645 ,719.14,,,
2004 ,9,"1,333 ","2,171 ",102.9 ,"1,287 ",233.1 ,420 ,647 ,724.9,,,
2004 ,10,"1,335 ","2,171 ",103.2 ,"1,289 ",234.0 ,431 ,643 ,724.85,,,
2004 ,11,"1,336 ","2,172 ",102.0 ,"1,301 ",235.3 ,430 ,646 ,725.09,,,
2004 ,12,"1,338 ","2,173 ",103.1 ,"1,314 ",235.7 ,435 ,646 ,724.29,,,
2005 ,1,"1,338 ","2,173 ",104.2 ,"1,317 ",234.9 ,436 ,642 ,717.95,,,
2005 ,2,"1,335 ","2,171 ",104.7 ,"1,312 ",233.0 ,433 ,646 ,717.71,,,
2005 ,3,"1,333 ","2,170 ",103.9 ,"1,304 ",229.5 ,429 ,647 ,710.54,,,
2005 ,4,"1,331 ","2,169 ",102.6 ,"1,291 ",228.0 ,422 ,643 ,700.62,,,
2005 ,5,"1,328 ","2,168 ",101.6 ,"1,284 ",226.0 ,408 ,643 ,693.54,,,
2005 ,6,"1,328 ","2,168 ",103.5 ,"1,287 ",231.3 ,414 ,647 ,706.83,,,
2005 ,7,"1,331 ","2,168 ",104.8 ,"1,301 ",235.1 ,432 ,648 ,718.02,,,
2005 ,8,"1,333 ","2,169 ",102.9 ,"1,307 ",237.2 ,434 ,646 ,719.66,,,
2005 ,9,"1,336 ","2,170 ",104.9 ,"1,315 ",241.2 ,436 ,648 ,725.00,,,
2005 ,10,"1,337 ","2,170 ",104.0 ,"1,314 ",240.8 ,436 ,644 ,717.78,,,
2005 ,11,"1,340 ","2,170 ",104.4 ,"1,315 ",240.5 ,434 ,644 ,717.08,,,
2005 ,12,"1,343 ","2,171 ",104.4 ,"1,318 ",243.0 ,437 ,648 ,725.00,,,
2006 ,1,"1,345 ","2,173 ",104.6 ,"1,318 ",242.4 ,437 ,648 ,724.63,,,
2006 ,2,"1,344 ","2,174 ",104.7 ,"1,318 ",242.4 ,436 ,647 ,724.62,,,
2006 ,3,"1,343 ","2,175 ",104.0 ,"1,319 ",239.5 ,435 ,646 ,723.3,,,
2006 ,4,"1,340 ","2,175 ",103.1 ,"1,318 ",237.5 ,428 ,645 ,714.32,,,
2006 ,5,"1,338 ","2,175 ",102.3 ,"1,313 ",236.7 ,421 ,645 ,701.43,,,
2006 ,6,"1,336 ","2,175 ",102.9 ,"1,306 ",235.8 ,412 ,643 ,693.96,,,
2006 ,7,"1,339 ","2,176 ",104.3 ,"1,311 ",239.4 ,426 ,644 ,716.52,,,
2006 ,8,"1,343 ","2,176 ",104.5 ,"1,318 ",242.5 ,436 ,646 ,724.89,,,
2006 ,9,"1,344 ","2,177 ",104.5 ,"1,315 ",241.7 ,436 ,646 ,721.61,,,
2006 ,10,"1,346 ","2,177 ",104.7 ,"1,312 ",241.8 ,436 ,646 ,724.5,,,
2006 ,11,"1,348 ","2,178 ",104.7 ,"1,314 ",242.5 ,437 ,648 ,724.94,,,
2006 ,12,"1,350 ","2,179 ",104.6 ,"1,318 ",241.9 ,437 ,649 ,721.97,,,
2007 ,1,"1,351 ","2,180 ",104.6 ,"1,318 ",242.5 ,437 ,648 ,723.85,,,
2007 ,2,"1,349 ","2,181 ",104.5 ,"1,318 ",239.9 ,435 ,646 ,722.27,,,
2007 ,3,"1,346 ","2,180 ",104.4 ,"1,317 ",236.4 ,432 ,643 ,711.53,,,
2007 ,4,"1,344 ","2,180 ",102.7 ,"1,313 ",233.2 ,422 ,645 ,692.75,,,
2007 ,5,"1,341 ","2,179 ",101.0 ,"1,306 ",231.2 ,409 ,642 ,692.37,,,
2007 ,6,"1,338 ","2,178 ",101.0 ,"1,295 ",228.3 ,398 ,643 ,692.35,,,
2007 ,7,"1,335 ","2,177 ",101.0 ,"1,284 ",226.3 ,398 ,643 ,692.24,,,
2007 ,8,"1,335 ","2,176 ",101.0 ,"1,284 ",225.9 ,403 ,643 ,692.66,,,
2007 ,9,"1,334 ","2,176 ",100.9 ,"1,284 ",223.5 ,411 ,643 ,692.18,,,
2007 ,10,"1,334 ","2,175 ",100.6 ,"1,284 ",223.9 ,420 ,644 ,693.50,,,
2007 ,11,"1,335 ","2,175 ",100.8 ,"1,289 ",226.0 ,424 ,642 ,703.76,,,
2007 ,12,"1,337 ","2,176 ",102.4 ,"1,302 ",226.2 ,426 ,644 ,709.87,,,
2008 ,1,"1,337 ","2,176 ",102.4 ,"1,302 ",226.2 ,426 ,644 ,709.87,,,
2008 ,2,"1,334 ","2,174 ",103.2 ,"1,290 ",224.3 ,422 ,641 ,697.16,,,
2008 ,3,"1,332 ","2,171 ",101.0 ,"1,283 ",223.4 ,422 ,641 ,691.65,,,
2008 ,4,"1,330 ","2,169 ",103.0 ,"1,283 ",222.7 ,421 ,644 ,691.61,,,
2008 ,5,"1,328 ","2,168 ",102.8 ,"1,283 ",222.9 ,410 ,647 ,693.71,,,
2008 ,6,"1,331 ","2,169 ",104.3 ,"1,303 ",226.2 ,436 ,645 ,712.16,,,
2008 ,7,"1,332 ","2,169 ",101.1 ,"1,302 ",227.9 ,434 ,644 ,704.49,,,
2008 ,8,"1,332 ","2,170 ",103.0 ,"1,289 ",231.1 ,131 ,642 ,705.52,,,
2008 ,9,"1,334 ","2,170 ",104.6 ,"1,295 ",234.2 ,433 ,649 ,715.11,,,
2008 ,10,"1,335 ","2,171 ",104.5 ,"1,290 ",234.1 ,432 ,646 ,716.61,,,
2008 ,11,"1,336 ","2,171 ",104.7 ,"1,295 ",232.9 ,429 ,645 ,711.84,,,
2008 ,12,"1,338 ","2,172 ",103.3 ,"1,313 ",233.0 ,432 ,644 ,716.78,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
